Espessura,Velocidade,Tempo,Ciclos,Temperatura,Humidade,Percurso,T_Caixa,T_Direta,T_i,T_f
714.9266625,100,120,5,20,42,59,79,116,0,0
637.7858603,115,120,5,20,42,59,79,116,0,0
579.7440957,130,120,5,20,42,59,79,116,0,0
534.827352,145,120,5,20,42,59,79,116,0,0
499.3079579,160,120,5,20,42,59,79,116,0,0
470.740601,175,120,5,20,42,59,79,116,0,0
447.4553128,190,120,5,20,42,59,79,116,0,0
428.2732523,205,120,5,20,42,59,79,116,0,0
412.3388907,220,120,5,20,42,59,79,116,0,0
399.0165494,235,120,5,20,42,59,79,116,0,0
387.8242413,250,120,5,20,42,59,79,116,0,0
378.3900211,265,120,5,20,42,59,79,116,0,0
370.4223929,280,120,5,20,42,59,79,116,0,0
363.6897668,295,120,5,20,42,59,79,116,0,0
358.0058939,310,120,5,20,42,59,79,116,0,0
353.2193467,325,120,5,20,42,59,79,116,0,0
349.205792,340,120,5,20,42,59,79,116,0,0
345.8622292,355,120,5,20,42,59,79,116,0,0
343.1026361,370,120,5,20,42,59,79,116,0,0
340.8546354,385,120,5,20,42,59,79,116,0,0
339.0569156,400,120,5,20,42,59,79,116,0,0
337.6572126,415,120,5,20,42,59,79,116,0,0
336.6107175,430,120,5,20,42,59,79,116,0,0
335.8788063,445,120,5,20,42,59,79,116,0,0
335.4280208,460,120,5,20,42,59,79,116,0,0
335.2292435,475,120,5,20,42,59,79,116,0,0
335.2570248,490,120,5,20,42,59,79,116,0,0
335.4890313,505,120,5,20,42,59,79,116,0,0
335.9055897,520,120,5,20,42,59,79,116,0,0
336.4893085,535,120,5,20,42,59,79,116,0,0
337.2247624,550,120,5,20,42,59,79,116,0,0
338.0982263,565,120,5,20,42,59,79,116,0,0
339.0974523,580,120,5,20,42,59,79,116,0,0
340.2114796,595,120,5,20,42,59,79,116,0,0
341.4304737,610,120,5,20,42,59,79,116,0,0
342.7455881,625,120,5,20,42,59,79,116,0,0
344.1488463,640,120,5,20,42,59,79,116,0,0
345.63304,655,120,5,20,42,59,79,116,0,0
347.1916411,670,120,5,20,42,59,79,116,0,0
348.8187254,685,120,5,20,42,59,79,116,0,0
350.5089064,700,120,5,20,42,59,79,116,0,0
352.2572773,715,120,5,20,42,59,79,116,0,0
354.0593603,730,120,5,20,42,59,79,116,0,0
355.9110626,745,120,5,20,42,59,79,116,0,0
357.8086366,760,120,5,20,42,59,79,116,0,0
359.7486463,775,120,5,20,42,59,79,116,0,0
361.7279361,790,120,5,20,42,59,79,116,0,0
363.743604,805,120,5,20,42,59,79,116,0,0
365.7929779,820,120,5,20,42,59,79,116,0,0
367.8735939,835,120,5,20,42,59,79,116,0,0
369.9831772,850,120,5,20,42,59,79,116,0,0
